target,id,credit_score,overdraft,quota,quota_is_zero,quota_surplus,quota_rate,credit_score_rank,all_is_null_x,all_is_zero,credit_score_is_null,quota_surplus_is_null,unit_price_mean,unit_price_max,unit_price_min,unit_price_std,order_all_is_null,amt_order_mean,amt_order_max,amt_order_min,amt_order_std,type_pay_count,sts_order_count,order_phone_count,name_rec_md5_count,货到付款,在线+京券支付,上门自提,余额+限品东券,在线+余额,在线+全品东券,null_x,定向京券支付,高校代理-自己支付,京豆混合支付,在线+全品京券,在线支付,在线,京豆支付,在线+京豆,前台自付,白条支付,在线+东券,混合支付,在线+限品东券,余额,积分支付,京券全额支付,定向京券,分期付款,在线支付 ,邮局汇款,高校代理-代理支付,在线预付,分期付款(招行),定向东券,京豆东券混合支付,东券混合支付,在线+东券支付,京豆,在线+余额+限品东券,在线+定向东券,全品京券,限品京券,在线+限品京券,公司转账,京券混合支付,type_pay_len,已晒单,已完成,等待审核,已收货,预订结束,抢票已取消,null_y,订单已取消,正在处理,配送退货,预约完成,未抢中,充值成功,未入住,请上门自提,等待付款,已退款,等待付款确认,已取消,下单失败,失败退款,商品出库,缴费成功,已取消订单,出票成功,购买成功,付款成功,等待收货,等待处理,等待退款,充值失败;退款成功,退款成功,完成,退款完成,出票失败,订单取消,充值失败,正在出库,sts_order_len,birthday_is_zero,sex_not_male,female,male,sex_secret,merriage1,merriage2,merriage3,merriage_is_null,account_grade1,account_grade2,account_grade3,account_grade4,account_grade5,account_grade_is_null,qq_bound_is_null,wechat_bound_is_null,degree,id_card_is_null,income1,income2,income3,income4,income5,age_one,age_two,age_three,age_four,age_five,all_null,record_count,湖南,河北,甘肃,北京,香港,陕西,安徽,山东,天津,null,青海,吉林,江西,海南,重庆,台湾,新疆,辽宁,广东,上海,河南,广西,贵州,山西,四川,内蒙,浙江,黑龙,湖北,宁夏,福建,江苏,云南,西藏,province_len,phone_count,card_record_count,store_card_count,have_credit_card,card_category_count,credit_count,card_count_one,record_is_unique,auth_id_card_is_null,auth_time_is_null,phone_is_null,all_is_null_y,all_not_null,card_time_is_null,time_phone_is_null,feature_1,register_days,day_mean,day_max,day_min,order_record_count,order_record_unique
0,600689284231467016,0.6512396694214876,0.0,0.0,1,0.5658257397074047,0.0,0.5460521963482403,1,0,0,0,0.00012505806394440556,9.955307307062827e-07,0.002348164273658978,5.094583370146005e-06,0.0,0.0005140726326633495,2.4938510231521587e-06,0.002746581036365711,5.094583370146005e-06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,1,1,1,0,1,0,0,0,34,444.0,446,439,4,0
0,607748277420429320,0.8743801652892562,0.0,0.0,1,0.5658257397074047,0.0,0.13469171738555175,1,0,0,0,0.0001086992936999807,6.988826846877438e-07,0.002340010925486551,3.772871889186518e-06,0.0,0.0004977202270148202,2.1972034216078494e-06,0.0027384309442696703,3.772871889186518e-06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,163.5,236,91,4,0
0,614829617332621576,0.7801652892561983,0.0,0.0,1,0.5658257397074047,0.0,0.3143358031225192,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1,1
0,596469748414288136,0.6363636363636364,0.0,0.0,1,0.5658257397074047,0.0,0.7627348504895475,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,1,1,0,1,0,0,0,108,0.0,0,0,1,1
0,604455889608380680,0.8132231404958677,0.0,0.0,1,0.5658257397074047,0.0,0.25946017464937815,1,0,0,0,3.0906825582462635e-05,2.421955318086951e-06,0.002038337043106752,8.380846946701529e-06,0.0,0.00041995802508576735,3.920273473289795e-06,0.002436877536716165,8.380846946701529e-06,0.1,0.14285714285714285,0.0,0.006756756756756757,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,298.04545454545456,324,79,22,0
0,609236857040933128,0.6413223140495867,0.0,0.0,1,0.5658257397074047,0.0,0.6451359486636676,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,1,1
0,611319639967797256,0.6413223140495867,0.0,0.0,1,0.5658257397074047,0.0,0.6353946149775073,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,1,1,0,1,0,0,1,-108,0.0,0,0,1,1
0,598350364990771208,0.6413223140495867,0.0,0.0,1,0.5658257397074047,0.0,0.6565890447208256,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,-67,0.0,0,0,1,1
0,600581889002049800,0.968595041322314,0.16513640430716015,0.24903551197847074,0,0.5946541896126909,0.7898156124839416,0.02009460174649378,1,0,0,0,0.00025324604062443914,2.8598882809380482e-05,0.0020301836949343246,5.065091102101688e-05,0.0,0.0006422107361158708,3.0097161743122625e-05,0.002428727444620124,5.065091102101688e-05,0.3,0.42857142857142855,0.014227642276422764,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,3,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,257.3828571428571,458,6,175,0
0,598481246997188872,0.6677685950413224,0.0,0.0,1,0.5658257397074047,0.0,0.501877150039693,1,0,0,0,0.000854864091273819,3.29089205299481e-06,0.007366728313709649,0.0,1.0,0.0012435947193067205,4.789208906250815e-06,0.0077631408902196835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,2,3,0,0,1,1,1,0,1,0,0,1,-93,0.0,0,0,1,1
0,596770948514844936,0.771900826446281,0.0,0.0,1,0.5658257397074047,0.0,0.32476349563376555,1,0,0,0,4.010814088099877e-05,3.4692737585218937e-07,0.002119870524831022,1.5438620064931714e-06,0.0,0.0004300883185546948,1.8452486401146012e-06,0.002518378457676572,1.5090077589273775e-06,0.1,0.07142857142857142,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,474.2857142857143,494,431,7,0
0,610799815093129480,0.9454545454545454,0.0,0.0,1,0.5658257397074047,0.0,0.04773088118549881,1,0,0,0,0.0005699727673043961,1.4017877157621797e-05,0.002282122153462319,5.6635142686073476e-05,0.0,0.0009588142360743513,1.5516177938402343e-05,0.0026805652903877813,5.6635142686073476e-05,0.1,0.07142857142857142,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,-30,260.07142857142856,473,21,28,0
